Name,Medium,Year,Creator
"Darth Vader","Star Wars",1977,"George Lucas"
"Sauron","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Gandalf","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Frodo","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Sam","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Aragorn","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Legolas","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Gimli","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Pippin","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Merry","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Boromir","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Gollum","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Peter","The Lion, the Witch and the Wardrobe",1950,"C.S. Lewis"
"Susan","The Lion, the Witch and the Wardrobe",1950,"C.S. Lewis"
"Edmund","The Lion, the Witch and the Wardrobe",1950,"C.S. Lewis"
"Lucy","The Lion, the Witch and the Wardrobe",1950,"C.S. Lewis"
"Hr. Tumnus","The Lion, the Witch and the Wardrobe",1950,"C.S. Lewis"
"Aslan","The Lion, the Witch and the Wardrobe",1950,"C.S. Lewis"
"Prince Caspian","Prince Caspian",1951,"C.S. Lewis"
"Reepicheep","Prince Caspian",1951,"C.S. Lewis"
"Harry James Potter","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Hermione Jean Granger","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Ronald Bilius Weasley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Draco Lucius Malfoy","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Albus Percival Wulfric Brian Dumbledore","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Tom Marvolo Riddle","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Severus Snape","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Rubeus Hagrid","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Ginevra Molly Weasley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Molly Weasley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Arthur Weasley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Fredrick Gideon Weasley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"George Fabian Weasley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Neville Longbottom","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Minerva McGonagall","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Hedwig","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"James Potter","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Lily Evans","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Vernon Dursley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Petunia Dursley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Dudley Dursley","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Garrick Ollivander","Harry Potter and the Philosopher's Stone",1997,"J.K.Rowling"
"Lucius malfoy","Harry Potter and the Chamber of Secrets",1998,"J.K.Rowling"
"Dobby","Harry Potter and the Chamber of Secrets",1998,"J.K.Rowling"
"Sirius Black","Harry Potter and the Prisoner of Azkaban",1999,"J.K.Rowling"
"Remus John Lupin","Harry Potter and the Prisoner of Azkaban",1999,"J.K.Rowling"
"Peter Pettigrew","Harry Potter and the Prisoner of Azkaban",1999,"J.K.Rowling"
"Luna Lovegood","Harry Potter and the Order of the Phoenix",2003,"J.K.Rowling"
"Dolores Jane Umbridge","Harry Potter and the Order of the Phoenix",2003,"J.K.Rowling"
"Thomas Ward","The Spook's Apprentice",2004,"Joseph Delaney"
"Alice Deane","The Spook's Apprentice",2004,"Joseph Delaney"
"Bony Lizzie","The Spook's Apprentice",2004,"Joseph Delaney"
"John Gregory","The Spook's Apprentice",2004,"Joseph Delaney"
"Mother Malkin","The Spook's Apprentice",2004,"Joseph Delaney"
"Kratch","The Spook's Apprentice",2004,"Joseph Delaney"








